year,km_driven,fuel,seller_type,transmission,owner,new_name,seats,mileage,engine,max_power,torque_nm,max_torque_rpm,country owner,was_filledna,age,km_per_year,is_automatic_flag,is_first_owner_flag,engine per liter,is_passenger_car_flag,is_dealer,brand_grouped,power_per_liter,torque_per_liter,car_age_pol,selling_price
2014.0,145500,Diesel,Individual,Manual,First Owner,Maruti,5,23.4,1248,74.0,190.0,2000.0,India,0,11.0,13227.272727272728,0,1,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,121.0,450000
2014.0,120000,Diesel,Individual,Manual,Second Owner,Skoda,5,21.14,1498,103.52,250.0,1500.0,Czech Republic,0,11.0,10909.09090909091,0,0,1.498,1,0,Other,69.10547396528705,166.88918558077435,121.0,370000
2010.0,127000,Diesel,Individual,Manual,First Owner,Hyundai,5,23.0,1396,90.0,219.66895999999997,1750.0,South Korea,0,15.0,8466.666666666666,0,1,1.396,1,0,Hyundai,64.46991404011462,157.35598853868194,225.0,225000
2007.0,120000,Petrol,Individual,Manual,First Owner,Maruti,5,16.1,1298,88.2,112.77647499999999,4500.0,India,0,18.0,6666.666666666667,0,1,1.298,1,0,Maruti,67.95069337442219,86.8848035439137,324.0,130000
2017.0,45000,Petrol,Individual,Manual,First Owner,Hyundai,5,20.14,1197,81.86,113.75,4000.0,South Korea,0,8.0,5625.0,0,1,1.197,1,0,Hyundai,68.38763575605681,95.02923976608187,64.0,440000
2007.0,175000,LPG,Individual,Manual,First Owner,Maruti,5,17.3,1061,57.5,76.49186999999999,4500.0,India,0,18.0,9722.222222222223,0,1,1.061,1,0,Maruti,54.194156456173424,72.09412818096135,324.0,96000
2001.0,5000,Petrol,Individual,Manual,Second Owner,Maruti,4,16.1,796,37.0,59.0,2500.0,India,0,23.00999999999999,672.5909523809523,0,0,0.796,1,0,Maruti,46.482412060301506,74.12060301507537,529.4699999999996,45000
2011.0,90000,Diesel,Individual,Manual,First Owner,Toyota,5,23.59,1364,67.1,170.0,1800.0,Japan,0,14.0,6428.571428571428,0,1,1.364,1,0,Toyota,49.19354838709677,124.63343108504398,196.0,350000
2013.0,169000,Diesel,Individual,Manual,First Owner,Ford,5,20.0,1399,68.1,160.0,2000.0,USA,0,12.0,14083.333333333334,0,1,1.399,1,0,Ford,48.67762687634024,114.3674052894925,144.0,200000
2014.0,68000,Diesel,Individual,Manual,Second Owner,Renault,5,19.01,1461,108.45,248.0,2250.0,France,0,11.0,6181.818181818182,0,0,1.461,1,0,Renault,74.22997946611909,169.74674880219027,121.0,500000
